ID,Title,Institution,Members,Location,Coordinates,Issue Primary,Issue Secondary,Approach Primary,Approach Secondary,Youth Focused?,Quote
2348,Bridging Divides: Reviving Unity and Peace in Kakuma Refugee Camp,Williams College,Agoth Manyang Arol,Kenya,"1.000000,38.000000",Social Cohesion,,Dialogue,,Yes,"This initiative addressed the longstanding intertribal conflict between the Dinka and Nuer communities in
Kakuma Refugee Camp by training peace delegates, organizing a large-scale peace conference, and
establishing sustainable mechanisms for reconciliation. Through dialogue, mentorship, and symbolic
activities like a football match, the project restored trust, fostered unity, and empowered local leaders to
continue peacebuilding efforts beyond the program.
At the start of the project, the number I had in mind was 45 delegates for a 7 day training. However, the overwhelming urge of everyone wanting to join and make a difference made us increase the number to 300 youth and
community leaders from both tribes. Gender and disability inclusion were prioritized in the selection,
which was conducted through interviews. Once admitted, delegates underwent training in mediation, negotiation, and cultural understanding. The next stage was a seven day Community Peace Conference, which was originally projected to host 450 participants, but the desire of community members to
take part led us to accommodate 800 delegates. The weeklong conference featured
lively discussions and skill-sharing workshops. Cultural activities which are common to both communities
like ‘Kabulo’ and ‘Liro’ were central to the event, and a symbolic football match between Dinka’s Koryom
Boys and Nuer’s Bentiu Boys drew over 2,000 spectators, with families sharing side by side. The match
demonstrated unity in action, and spontaneous community contributions—such as drinks and chairs
donated by local business persons—reflected local ownership and enthusiasm.
For one month following the conference, delegates applied their skills to mediate disputes in their neighborhoods while we did the monitoring. A two-day follow-up conference that allowed participants to evaluate progress, address new challenges, and designate official Peace Ambassadors.The two days were mostly run by the delegates themselves while being guided by the project managers, and they
shared with us all the great things they had accomplished during the one-month implementation.
Ambassadors were awarded certificates. My next aim is to build a youth center since a foundation for
peace has been achieved. To me, peace is the courage to heal from wounds of war, the willingness to embrace one another as one
people, and the commitment to create trust and belonging. In Kakuma, peace means dismantling the
barriers that political forces once weaponized and building compassion, trust, and shared belonging.
In the short term, the project gave delegates practical skills, created platforms for dialogue, and sparked
hope across the camp. In the long term, it established peace ambassadors who can sustain reconciliation
efforts within their communities. The project’s greatest value lies in the structures it created—institutions
of trust that will endure beyond my involvement.  This project has shown me that peace is the courage to turn division into unity. By reconnecting the Dinka
and Nuer in Kakuma, we proved that reconciliation is possible even under the weight of history."
2311,Bridging issei and us through a picture-sound book,Reed College,Yuki Nagura,United States,"38.000000,-97.000000",Human Rights,Social Cohesion,Art & Design,Documentary & Reporting,No,"Our project involved the creation of a picture book with the addition of 3D printing and audio elements that supplemented the book. The topic of the book is the incarceration camps of Japanese Americans and Americans of Japanese descent, specifically at the Minidoka location, where many Portland-based people went. The purpose of the book is to preserve the voices and stories of survivors, educate the younger generations on this neglected history, and inspire peace in our present global climate. 
We had the rare opportunity of meeting and interviewing two survivors of the camp whose stories we based the book on. From the beginning of this project's conception, our perception of the world had already begun to
change. We were shocked to find out that people of Japanese descent were put into incarceration camps during World War II. We were not taught the horrors of the event and how it impacted the civilians who
were placed in these camps. From this point, we realized the selective nature of education and
discovered the flaws of the world. Additionally, we learned that the selective incarceration of ethnic
Italians and Germans also occurred in Japan during wartime. The existence of incarceration camps in
Japan speaks to the fact that racial discrimination is not an issue specific to America but an issue of fear
breeding injustice, dehumanization, othering, and selectiveness of historical memory. We recognize that
this is a pattern of history that must stop, yet continues to happen time and time again."
,,,Isara Moriya,,,,,,,,
2278,"Bridging Relationships, Building Peace: Counseling for Marital Harmony",International House,Iraj Butt,Mughalpura,"31.563300,74.380000",Economic Development & Entrepreneurship,Social Cohesion,Skills Development,Outreach & Information Campaigns,No,"This project taught us that peace comes from the economic and social freedom to build a dignified life.
When women in under-resourced communities gain the skills and support to lead businesses, they
transform not just their lives but the possibilities for everyone around them. Our project addressed barriers to women’s economic participation in Lahore by launching a women-centered incubation lab that offered training, mentorship, and an inclusive space for growth. Over five
weeks, the program worked with 32 women micro-entrepreneurs who strengthened their business skills,
built peer networks, and launched ventures that boosted both their confidence and their communities. Our project addressed barriers to women’s economic participation in Lahore by launching a women-
centered incubation lab that offered training, mentorship, and an inclusive space for growth. Over fiveweeks, the program worked with 32 women micro-entrepreneurs who strengthened their business skills,
built peer networks, and launched ventures that boosted both their confidence and their communities.  Early sessions focused on trust-
building, mapping personal motivations, and defining success beyond income. Participants then developed product and service offerings, practiced pitching their ideas, and built digital storefronts. Live clinics with
our lead trainer turned nerves into momentum, helping participants translate skills into market-ready ventures. Adjustments were made along the way to accommodate varied digital literacy and
space constraints, including one-on-one coaching and flexible use of the training hall. Graduation on August 30 was a powerful celebration of the cohort’s achievements. With certificates in hand,
participants took their places at mini-demo booths, sharing their ventures and receiving public
acknowledgment from mentors, family, and peers. They left with tested business models, live digital
storefronts, and the beginnings of their customer networks, but also with something more: a tangible key to
their future. The early outcomes are already clear, with increased income-generation activities, a strong
sense of entrepreneurial confidence, and a lasting foundation of peer-supported accountability."
,,,Taha Rashid,,,,,,,,
2321,Building Peace Through Art and Storytelling,St. Olaf College,,Arusha,"-3.366670,36.683330",Youth development,,Art & Design,,Yes,"I wrote a children’s book with 32 primary students in Arusha, Tanzania, as part of a peace
education program that combined storytelling, art, and mental health awareness to help children develop
empathy, resilience, and conflict resolution skills.  Over the course of the program, students created stories and artwork that
were later compiled into a book, celebrating their voices and perspectives.
We printed a reasonable amount of copies that we needed for the training including those from
Peace Education Foundation such as Peacemaking Skills for Little Kids, PreK/K - Digital Teacher's Guide,
Creative Conflict Solving for Kids, Grades 3-4 - Digital Teacher's Guide, Peace Scholars: Creative Conflict
Solving, Grade 5 - Digital Teacher's and digital versions were shared with schools and community
partners to extend the project’s reach and enable them to utilize the materials for future training that they
will work on. The book compilation was completed and printed by a local printing enterprise in Tanzania.
I chose to focus on peace education because children in Tanzania, like in many parts of the
world, have little understanding of peace and how they can play a vital role in resolving conflicts at their
community level. I believe that introducing peace concepts early can provide young people with tools for
resilience and community building on the grounds of fairness and equity.
Arusha was selected because of my partnership with the School of St. Jude and Changemakers
Foundation, all of which provided space, staff, and community connections. These organizations played
vital roles, they offered facilitators, recruited students, and helped ensure that the program was integrated
into school and will help promote our work to the broader community including distributing the printed
books.This project inspired me to see peace not as an abstract idea but as something built moment by
moment, through children’s stories, through their drawings, and through their willingness to learn from one
another. I now understand more clearly that a peaceful future is one where every child is given the tools
and opportunities to become a peacemaker in their own community.
“Through this project, I realized that peace begins with listening to children’s voices. When we
give them the tools to imagine and create, they quickly become powerful advocates for a more
compassionate and peaceful world.”"
2292,Building Peace Through Water Supply,Lewis & Clark College,Shubhika Baral,Sindhuli District,"27.175600,85.941900",Health & Wellbeing,,Infrastructure,,No,"This initiative sought to advance peace and equity in Bhaluwai village, Sindhuli, Nepal by addressing
caste-based water discrimination that denied Dalits access to clean water. The project involved building
six communal taps in the Dalit settlement, connected through pipelines from Raage village. By ensuring
reliable water access, the project reduced tensions between castes, eliminated the need for Dalits to use
restricted taps, and promoted dignity and health. The work was carried out in partnership with the Udaan
Foundation, with approval from the Ward 1 government authorities, and in collaboration with a contracted
plumbing team from Bardibas.  For this project, peace was not defined as immediate integration of castes at the same water source.
Instead, peace meant reducing conflict and violence by ensuring that Dalits had their own secure water
supply. Thus, peace is a process rather than a single moment. This practical approach created dignity
and safety for Dalits, while opening the door for future dialogue toward deeper social integration.

The project revealed how reality often diverges from written proposals. Unexpected conflicts,
absenteeism, and adminitrative delays forced quick adaptation. For example, I had to lead and direct online. With time difference and bureaucratic delays, I had to learn to be
patient and consistent with my efforts. Later, I redirected funds meant for my travel to construct a
bathroom and a seating structure near the taps, allowing people to rest and enjoy fresh water together.
These improvisations reminded me the importance of resilience and flexibility."
2228,"Building Peace, One Venture at a Time in Rural Kenya",Brown University,Francis Parserio,Laikipia (County),"0.006240,37.073980","Education Quality, Equity & Access",Economic Development & Entrepreneurship,Equipment & Materials,Educational Enrichment,Yes,"“This project cemented in me the belief that peace begins with opportunity. By
equipping young people with entrepreneurial skills and resources, we give them hope, agency, and a
pathway to transform their futures.To make this vision possible, I
worked with Centonomy to train three teachers who will manage the center and guide students in
developing their ventures. The project also equipped the center with 15 computers, Wi-Fi access for the
first time in the school’s history, a comprehensive entrepreneurship curriculum, and a subscription to
Business Daily to expose students to current market dynamics and business news."
2335,Burushal Sports Academy: Women Empowerment Through Soccer,University of Oklahoma,Hilbi Akbar,Yasin Ghizer,"36.366320,73.336480",Youth development,,Sports & Play,,Yes,"Our project, in collaboration with the Burushal (or: Brooshal) Sports Academy (BSA), aimed to
challenge gender inequality in Yasin, Northern Pakistan, by empowering girls through soccer. In summer 2025, we successfully registered the Academy with the Pakistani Government, conducted a pilot training
camp, started our website building, and purchased land for the Academy. This collaboration laid the
foundation for a resilient and sustainable institution that can continue to grow despite environmental
challenges such as flooding, while advancing gender justice in the region, and taught us to embrace
uncertainty, innovate, and adapt to changing circumstances.
The project was inspired by the backlash against the creation of
the first women’s soccer club in Yasin Valley, which went viral on local media. As best friends from across
the India-Pakistan border, we recognized that the skills and abilities we learned during our time in UWC
and beyond had empowered us to become catalysts for positive change. 
By supporting and working together with the BSA, we sought to establish a sustainable, inclusive space
for young women to participate and challenge dominant, deep-rooted social norms and perceptions.  Outcomes included
1. Flood-Resilient Infrastructure: The land purchase secured a safe, elevated space for the
Academy, protecting it from disasters that destroyed many local facilities.
2. Direct Participation: A pilot camp brought together girls for training and confidence-building,
marking a step forward in community acceptance of women’s sports.
3. Institutional Growth: The Academy is now formally registered, providing legitimacy, recognition,
and a pathway for future expansion.
4. Digital Advocacy: As the region recovers from floods, we are developing a website and
launching a social media campaign to challenge cultural norms, spread awareness, and gather
broader support for the Academy."
,,,Christine John,,,,,,,,
2268,Cervicare for Peace: A path to health and lasting unity for Kayayei in Ghana,International House,Ahmed Abubakari,Ghana,"8.000000,-2.000000",Health & Wellbeing,,Outreach & Information Campaigns,,No,"This project addressed the dual issues of health inequity and peacebuilding among Kayayei (female head
porters) in Accra, Ghana, by providing cervical cancer screening, reproductive health education, peer
educator training, and an avenue for peace dialogue. We collaborated with the Zongo Care Initiative,
Kayayei, local health facilities, and the Kayayei Youth Association to provide screening services and
facilitate peace dialogues that strengthened solidarity among the women from diverse ethnic
backgrounds."
2235,Chhori Ka Paila (The footprints of a daughter),Clark University,Prakriti Manandhar,Koshi Province,"26.455050,87.270070",Health & Wellbeing,,Outreach & Information Campaigns,Infrastructure,Yes,"This project addressed the issues of period stigma, lack of sanitation, and gender inequality in
rural Nepal by building 12 school toilets, delivering menstrual health workshops for 900+ students,
and training 57 women to produce reusable sanitary pads. The project was implemented in
collaboration with United World Schools (UWS) Nepal, the local government of Sankhuwasabha, and
supported by the Davis Projects for Peace grant. We selected the issue of menstrual health and education because it remains one of the most persistent barriers to gender equality in Nepal. In Sankhuwasabha, menstruation is still stigmatized, and girls
often miss school or drop out entirely due to the lack of resources and safe facilities.  “Something that impacted me the most was seeing the boys in the class taking the lead in reminding
their classmates about period awareness. When one person participated, slowly, people who were too
shy to talk about it also started opening up. This showed me how change is possible when the entire
community is involved. Additionally, it reminded all of us that peace isn't just about putting a stop to
conflict; it is about developing as a community to make life better and more comfortable for everyone
living in it.” – Prakriti Manandhar"
,,Colgate University ,"Kajol Luplunge
Aslesha Shrestha, Clark University 
Gaurav Pradhan, United World College Costa Rica ",,,,,,,,
2326,Code Her Future: Empowering Girls in Tech in Tamale,Tufts University,Nyankpani Kesson Abdul-Quddus,Tamale,"9.400790,-0.839300",Technology Equity & Access,,Educational Enrichment,Equipment & Materials,Yes,"This summer, I implemented “Code Her Future” at the Evangelical Church of Ghana School Complex
in Tamale. The project addressed the systemic barriers facing girls in STEM education by introducing
a tailored curriculum in coding, digital literacy, and problem-solving, while also engaging parents, local
teachers, and local leaders to dismantle cultural barriers and build a sustainable pathway for girls into
technology, fostering a more equitable and innovative community. My decision on the issue to address was rooted in a lifetime of observing the stark educational
inequities in Northern Ghana. I saw brilliant, curious girls like my sisters systematically steered away
from technical fields due to a lack of resources, representation, and deeply ingrained cultural norms.
The approach was twofold: first, to provide direct, hands-on skill-building for the girls to demystify
technology and build confidence; and second, to orchestrate a parallel community engagement
strategy. I knew that without winning the trust and support of parents and local educators, any
technical skills taught would be short-lived. Therefore, the strategy was intentionally holistic, targeting
not just the students but the entire ecosystem that influences their educational choices. the most impactful sessions came from two unexpected
sources: a young female app developer from Accra who joined via Zoom for a short while, and a
female agricultural science student from UDS who demonstrated how she uses data analysis to
improve crop yields. This real-world, Ghanaian-centric application of STEM was more powerful than I
had anticipated, so I pivoted to source more local and relatable role models. For me, peace is not only the absence of violence or conflict—it is the active presence of opportunity,
dignity, and inclusion. When girls are denied access to education, especially in fields like STEM that
shape the future, their exclusion perpetuates cycles of inequality that destabilize families and
communities. By creating spaces where girls could see themselves as capable engineers and
problem-solvers, the project planted seeds of peace that I believe will grow both individually and
collectively. One father told me, ""I always thought this was for boys in the big cities. Now I see my
daughter can do it too."" This dismantling of a prejudicial belief is a direct act of building peace."
